,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,color,msg
0,0.6486,Sat Jun 09 21:45:04 +0000 2018,0.654,0.0,0.346,1,@nytimes,orange,"These sweet, lemony rolls are a fresh alternative to classic cinnamon rolls https://t.co/prmvr6p22Z"
1,-0.2411,Sat Jun 09 21:30:11 +0000 2018,0.906,0.094,0.0,2,@nytimes,orange,"In @NYTOpinion

Sarah Jackson writes, ""Anthony Bourdain was not just curious about food and the world. He was aware… https://t.co/5hEzlnvRuR"
2,0.0,Sat Jun 09 21:15:06 +0000 2018,1.0,0.0,0.0,3,@nytimes,orange,Anthony Bourdain understood that eating was simply a way of taking the world inside you https://t.co/MFUCcrSnln
3,0.0,Sat Jun 09 21:00:09 +0000 2018,1.0,0.0,0.0,4,@nytimes,orange,"A salmonella outbreak has been linked to melons sold at Trader Joe's, Costco, Walgreens and other stores in 8 states https://t.co/OelPlvpK5c"
4,0.0,Sat Jun 09 20:45:08 +0000 2018,1.0,0.0,0.0,5,@nytimes,orange,"With American presidential races requiring an ever-dizzying amount of money, a behind-the-scenes 2020 contest is al… https://t.co/tHOnZLcUXg"
5,0.0,Sat Jun 09 20:37:06 +0000 2018,1.0,0.0,0.0,6,@nytimes,orange,"RT @NYTNational: ⚡️ “Audio Series: ​Charm City”

https://t.co/wY7o7Opy3u"
6,0.0,Sat Jun 09 20:30:05 +0000 2018,1.0,0.0,0.0,7,@nytimes,orange,"Surveillance cameras are an inescapable fixture of the modern city. But in Newark, the police have taken an extraor… https://t.co/lzw2Eo7eCH"
7,-0.6249,Sat Jun 09 20:15:09 +0000 2018,0.788,0.212,0.0,8,@nytimes,orange,We demolish the lame excuses British executives gave for the lack of women on corporate boards. Read the latest Gen… https://t.co/jhJiWjGPGd
8,0.4019,Sat Jun 09 20:00:07 +0000 2018,0.791,0.065,0.144,9,@nytimes,orange,"With Kyrie Irving's popularity has come controversy: He has questioned several times whether the Earth is round, an… https://t.co/XuXD1Q2qPy"
9,-0.2732,Sat Jun 09 19:45:02 +0000 2018,0.829,0.114,0.057,10,@nytimes,orange,"In @NYTOpinion 

Daniel Patterson writes, ""No matter how famous and seemingly unapproachable he became in the world… https://t.co/BQnrKYPvyI"
10,-0.7351,Sat Jun 09 19:30:10 +0000 2018,0.676,0.324,0.0,11,@nytimes,orange,Gun ranges and gun shops in several states have declared themselves “Muslim-free zones.” Several Muslim gun owners… https://t.co/GOwpHFkLks
11,0.8126,Sat Jun 09 19:15:07 +0000 2018,0.709,0.0,0.291,12,@nytimes,orange,"In @NYTOpinion 

Musa Okwonga writes, ""Here we are again on the eve of the planet’s greatest traveling festival: Ye… https://t.co/nBxJnGwvsF"
12,0.0,Sat Jun 09 19:00:09 +0000 2018,1.0,0.0,0.0,13,@nytimes,orange,Have questions about the Belmont Stakes and the Triple Crown? We have your answers. https://t.co/GPu2uPlTRV
13,0.0,Sat Jun 09 18:45:05 +0000 2018,1.0,0.0,0.0,14,@nytimes,orange,“I talk back to people when they say something about me now because I know even with my condition that I am beautif… https://t.co/TJmesUhGTL
14,0.0,Sat Jun 09 18:30:14 +0000 2018,1.0,0.0,0.0,15,@nytimes,orange,Science is taking a back seat in policymaking across the Trump administration. The North Korea nuclear talks offer… https://t.co/hauZtxGqq5
15,0.0,Sat Jun 09 18:15:08 +0000 2018,1.0,0.0,0.0,16,@nytimes,orange,"In his own unorthodox way, Trump has been preparing for this encounter with Kim Jong-Un his entire adult life https://t.co/VlXkCmqssL"
16,0.0,Sat Jun 09 18:00:05 +0000 2018,1.0,0.0,0.0,17,@nytimes,orange,"With his America First agenda, Trump has driven a wedge between the U.S. and its allies, ceding leadership and its… https://t.co/sfyYD4o3hM"
17,0.128,Sat Jun 09 17:50:07 +0000 2018,0.775,0.103,0.122,18,@nytimes,orange,"RT @TheSteinLine: All the tales — legacy, free agency, injury — from what might (or might not) have been LeBron James’ last night as a Clev…"
18,0.0,Sat Jun 09 17:40:03 +0000 2018,1.0,0.0,0.0,19,@nytimes,orange,California has dug in at the front lines of the resistance to President Trump. And then there is Orange County. https://t.co/BSVW14kSmd
19,0.0,Sat Jun 09 17:25:03 +0000 2018,1.0,0.0,0.0,20,@nytimes,orange,"What to watch, what to read and what to listen to by and about Anthony Bourdain https://t.co/TR5noBS7Ee"
20,-0.0772,Sat Jun 09 17:10:03 +0000 2018,0.711,0.151,0.138,21,@nytimes,orange,"Who’s right, Elon Musk or Mark Zuckerberg? Is supersmart artificial intelligence a potential threat to humans, or a… https://t.co/8zay2rbSEG"
21,0.4767,Sat Jun 09 17:00:23 +0000 2018,0.853,0.0,0.147,22,@nytimes,orange,"RT @stanfordc: I’m proud to say that there has never been a swimsuit portion of the news quiz 
https://t.co/e1Z8wlhYvy https://t.co/4YJ7UrG…"
22,0.0,Sat Jun 09 16:45:09 +0000 2018,1.0,0.0,0.0,23,@nytimes,orange,"30 billion gallons of Hawaiian lava, as seen from the ground and space https://t.co/vz9qQOCYS9"
23,0.2732,Sat Jun 09 16:30:07 +0000 2018,0.741,0.107,0.152,24,@nytimes,orange,She wanted to celebrate their marriage in lavish style. He had something less lofty in mind. A lovers’ battle ensue… https://t.co/RnvIaxRtRP
24,-0.5994,Sat Jun 09 16:15:02 +0000 2018,0.813,0.187,0.0,25,@nytimes,orange,"Anthony Bourdain's sudden death at Le Chambard, a hotel in the village of Kaysersberg in northeastern France, sent… https://t.co/V5gRoZKGQN"
25,0.743,Sat Jun 09 16:01:00 +0000 2018,0.704,0.0,0.296,26,@nytimes,orange,"@jimdwyernyt ""The supply of excellent schools cannot meet the demands of capable students, whatever their backgroun… https://t.co/KF39XvdUjJ"
26,0.3612,Sat Jun 09 15:58:00 +0000 2018,0.872,0.0,0.128,27,@nytimes,orange,"@jimdwyernyt The specialized schools are far from bastions of privilege, dominated by immigrants or the children of… https://t.co/DWOoiPghSz"
27,0.3612,Sat Jun 09 15:55:03 +0000 2018,0.884,0.0,0.116,28,@nytimes,orange,"In New York’s ragged history of race, class, privilege and equity, the city’s specialized high schools have long be… https://t.co/HL2yw2JmHz"
28,-0.7269,Sat Jun 09 15:41:58 +0000 2018,0.747,0.253,0.0,29,@nytimes,orange,Breaking News: President Trump threatened to end trade with G-7 nations that he said use unfair practices. “We’re l… https://t.co/uI5rOmZ76O
29,0.2023,Sat Jun 09 15:32:50 +0000 2018,0.847,0.0,0.153,30,@nytimes,orange,"Flaky mounds of quick bread, golden brown, with a significant crumb https://t.co/wbMRgvySpY"
30,0.6369,Sat Jun 09 15:16:31 +0000 2018,0.669,0.092,0.239,31,@nytimes,orange,Breaking News: Simona Halep of Romania beat Sloane Stephens to win the French Open. It was the first Grand Slam tit… https://t.co/3sFwWkJ353
31,0.7269,Sat Jun 09 15:05:06 +0000 2018,0.711,0.0,0.289,32,@nytimes,orange,Her $1 million gift left educators asking: How was one teacher able to save so much money?https://t.co/Vv8fhgbwWA
32,-0.875,Sat Jun 09 14:51:21 +0000 2018,0.679,0.321,0.0,33,@nytimes,orange,"If you or someone else you know is having thoughts of suicide, call the National Suicide Prevention Lifeline at 1-8… https://t.co/5kOUYV8c3u"
33,-0.6705,Sat Jun 09 14:50:03 +0000 2018,0.809,0.191,0.0,34,@nytimes,orange,New federal data shows that suicide rates have been increasing for years in almost every state and across demograph… https://t.co/g6znmjYQl5
34,-0.0258,Sat Jun 09 14:37:50 +0000 2018,0.723,0.14,0.136,35,@nytimes,orange,"After failing to repeal the Affordable Care Act, the Trump administration is seizing on a different strategy for di… https://t.co/Low8zwBsVL"
35,0.5106,Sat Jun 09 14:36:39 +0000 2018,0.845,0.0,0.155,36,@nytimes,orange,"Our experts weighed in on the contenders, including the Triple Crown hopeful Justify, for the 150th Belmont Stakes https://t.co/xi9TIoAxWb"
36,0.0,Sat Jun 09 14:20:07 +0000 2018,1.0,0.0,0.0,37,@nytimes,orange,"RT @NYTMetro: “This is the deportation machine in full effect, and everyone should wake up to how American citizens and their families are…"
37,0.6369,Sat Jun 09 14:02:25 +0000 2018,0.84,0.0,0.16,38,@nytimes,orange,"RT @caityweaver: The strangest and best recommendation I will ever make to you is: Listen to the same 4 podcast appearances by ""Sex and the…"
38,-0.296,Sat Jun 09 13:43:12 +0000 2018,0.864,0.136,0.0,39,@nytimes,orange,Pope Tells Oil Executives to Act on Climate: ‘There Is No Time to Lose’ https://t.co/jpXdOMmBOf
39,0.0,Sat Jun 09 13:38:05 +0000 2018,1.0,0.0,0.0,40,@nytimes,orange,Elizabeth Warren and a Scholarly Debate Over Medical Bankruptcy That Won’t Go Away https://t.co/mbz6wvuSUO
40,0.4574,Sat Jun 09 13:26:45 +0000 2018,0.501,0.0,0.499,41,@nytimes,orange,RT @NYTStyles: Parties! https://t.co/MdgG2e1xjI
41,0.7906,Sat Jun 09 13:06:58 +0000 2018,0.667,0.0,0.333,42,@nytimes,orange,"RT @nytimesbusiness: ""Wealth was about being able to create the change you wish to see in the world.” https://t.co/KoQCO5Iy1y"
42,0.0,Sat Jun 09 12:50:47 +0000 2018,1.0,0.0,0.0,43,@nytimes,orange,An exhibition in London examines the feelings people harbor about their teeth. Here's a look at some of the most cu… https://t.co/KRz76xwrXq
43,0.5859,Sat Jun 09 12:33:02 +0000 2018,0.787,0.0,0.213,44,@nytimes,orange,RT @NYTSports: Need a winner for the Belmont Stakes? @MHoppertNYT and @joedrape have you covered: https://t.co/44joWHhuTm
44,-0.296,Sat Jun 09 12:32:42 +0000 2018,0.784,0.216,0.0,45,@nytimes,orange,Why Cities Can’t Stop Poaching From One Another https://t.co/X1SeTjbqKs
45,-0.296,Sat Jun 09 12:17:32 +0000 2018,0.909,0.091,0.0,46,@nytimes,orange,RT @nytimesworld: Austrian officials have ordered seven mosques to close and may refuse dozens of imams the right to reside in the country…
46,0.0,Sat Jun 09 12:00:08 +0000 2018,1.0,0.0,0.0,47,@nytimes,orange,RT @nytrealestate: A quick guide to what you need to get your first apartment in New York City https://t.co/NQYV03Xkyn
47,-0.3182,Sat Jun 09 11:49:08 +0000 2018,0.723,0.277,0.0,48,@nytimes,orange,Men’s Fashion Week Loses Some Luster https://t.co/TCj0nbeFMj
48,-0.8074,Sat Jun 09 11:41:16 +0000 2018,0.644,0.356,0.0,49,@nytimes,orange,"Inside New York’s dollar van wars: strict regulations, low margins and a constant fight with rogue van drivers https://t.co/kiAEpdxkgV"
49,0.0,Sat Jun 09 11:23:34 +0000 2018,1.0,0.0,0.0,50,@nytimes,orange,"RT @NYTMetro: On the stoop that was his perch, a requiem for the mayor of West 83rd Street, in Manhattan. https://t.co/qRN1VlPo1t"
50,0.3612,Sat Jun 09 11:07:18 +0000 2018,0.783,0.0,0.217,51,@nytimes,orange,"Charlotte Fox, 61, Trailblazing Alpinist and Everest Survivor, Dies https://t.co/nM5gpQdLhB"
51,0.4404,Sat Jun 09 11:05:12 +0000 2018,0.707,0.0,0.293,52,@nytimes,orange,A Good Appetite: Chicken Milanese Has Its Moment https://t.co/Rhco2hq6mS
52,0.0,Sat Jun 09 11:03:06 +0000 2018,1.0,0.0,0.0,53,@nytimes,orange,The New York Times obituary for Anthony Bourdain https://t.co/D697EnEWQX
53,0.6369,Sat Jun 09 10:35:35 +0000 2018,0.833,0.0,0.167,54,@nytimes,orange,RT @NYTmag: 24 hours. 23 photographers. One city. One topic: Love. Watch the making of this issue https://t.co/s2uND5xgVs and see the full…
54,0.25,Sat Jun 09 10:18:25 +0000 2018,0.895,0.0,0.105,55,@nytimes,orange,The recent volcanic eruptions in Hawaii and Guatemala are a reminder that not all volcanoes are created equal https://t.co/M7sNdtwIzJ
55,0.5267,Sat Jun 09 10:00:17 +0000 2018,0.855,0.0,0.145,56,@nytimes,orange,"For the 3rd time in 4 seasons, and for the 2nd year in a row, the Golden State Warriors are NBA champions https://t.co/r7NgjH0nbf"
56,-0.1531,Sat Jun 09 09:41:41 +0000 2018,0.762,0.129,0.109,57,@nytimes,orange,"RT @nytimestech: The Chinese electronics maker ZTE has survived its brush with death. Now, it has to figure out how to stay in business. He…"
57,0.6124,Sat Jun 09 09:24:47 +0000 2018,0.722,0.0,0.278,58,@nytimes,orange,"RT @nytrealestate: You may like the contractor, but does the contractor like you back? https://t.co/kPShW4JONu"
58,0.5994,Sat Jun 09 09:07:20 +0000 2018,0.792,0.049,0.158,59,@nytimes,orange,"RT @NYTmag: On a rainy Saturday morning on May 19, @philip_nyc captured love in the middle of Times Square. See more from our #NYTLoveCity…"
59,-0.4215,Sat Jun 09 08:50:10 +0000 2018,0.714,0.286,0.0,60,@nytimes,orange,How I Used Art to Get Through Trauma https://t.co/7N5fzAxLoe
60,0.0,Sat Jun 09 08:42:33 +0000 2018,1.0,0.0,0.0,61,@nytimes,orange,"The NYT review of ""Ocean's 8"" https://t.co/flFaRzpyzr"
61,0.5106,Sat Jun 09 08:26:14 +0000 2018,0.752,0.0,0.248,62,@nytimes,orange,She’s photographed Broadway for years. Now Broadway is honoring her. https://t.co/eI7sfheNWI
62,-0.7579,Sat Jun 09 08:09:03 +0000 2018,0.622,0.303,0.075,63,@nytimes,orange,The killing in Germany comes on top of a deepening scandal and calls for a full-blown parliamentary investigation o… https://t.co/0p5qfKyP2V
63,-0.6249,Sat Jun 09 07:42:08 +0000 2018,0.83,0.17,0.0,64,@nytimes,orange,"RT @nytimesworld: More than 140 miles away and three decades after the Chernobyl disaster, some cows still make radioactive milk https://t.…"
64,0.8097,Sat Jun 09 07:25:53 +0000 2018,0.706,0.0,0.294,65,@nytimes,orange,RT @nytopinion: This weekend we are sharing some pieces on music. Think of it as a little inspiration to appreciate the soundtrack of your…
65,0.0,Sat Jun 09 07:09:23 +0000 2018,1.0,0.0,0.0,66,@nytimes,orange,"RT @nytimesbusiness: HBO is making a pilot for one of the five ""Game of Thrones"" prequels it has in development https://t.co/EMeqQvEdHQ"
66,-0.25,Sat Jun 09 06:52:51 +0000 2018,0.595,0.232,0.173,67,@nytimes,orange,"Taliban Announce Brief Cease-Fire, Offering Afghans Hope for Lull in War https://t.co/IlMkkFHSCM"
67,0.7184,Sat Jun 09 06:41:20 +0000 2018,0.662,0.077,0.261,68,@nytimes,orange,"RT @NYTMetro: Underneath the umbrella: a fascinating photo portfolio of the lifeguards of Jones Beach, in all their stoic, bored, heroic gl…"
68,0.0,Sat Jun 09 06:24:54 +0000 2018,1.0,0.0,0.0,69,@nytimes,orange,"China’s ZTE— a little-known electronics maker— became an unlikely political football, then an even unlikelier objec… https://t.co/APxvWFepXB"
69,0.357,Sat Jun 09 06:06:12 +0000 2018,0.879,0.0,0.121,70,@nytimes,orange,"Andrew Rannells: ""I didn't feel jealous; I felt driven. I wanted to be one of those people on the Tonys."" https://t.co/i3LX0WgQBb"
70,0.5859,Sat Jun 09 05:50:04 +0000 2018,0.743,0.0,0.257,71,@nytimes,orange,Here's who we think will win the Tonys (and who should) https://t.co/ZlqqPQRtvt
71,0.2732,Sat Jun 09 05:35:00 +0000 2018,0.584,0.168,0.248,72,@nytimes,orange,Justice Dept. Requests Delay if DACA Injunction Is Issued https://t.co/HB7h98gENy
72,0.0,Sat Jun 09 05:32:30 +0000 2018,1.0,0.0,0.0,73,@nytimes,orange,"RT @nytpolitics: The president said that Melania Trump “wanted to go” with him to the Group of 7 summit meeting in Quebec, but was staying…"
73,-0.2023,Sat Jun 09 05:00:08 +0000 2018,0.708,0.163,0.129,74,@nytimes,orange,"50 years after his death, friends, aides and journalists recall Robert F. Kennedy's last campaign in California, hi… https://t.co/bAveWEnYW5"
74,-0.34,Sat Jun 09 04:45:03 +0000 2018,0.893,0.107,0.0,75,@nytimes,orange,"In Canada, many observers were calling it the ""G-6 plus 1"" — with President Trump being cast as the irrational, ira… https://t.co/AUbzhnVmGY"
75,-0.0387,Sat Jun 09 04:30:05 +0000 2018,0.948,0.052,0.0,76,@nytimes,orange,"RT @kenvogel: MANAFORT paid KONSTANTIN KILIMNIK $531k in 2013 &amp; 2014, according to lobbying records, but that covers only a fraction of the…"
76,-0.5574,Sat Jun 09 04:15:04 +0000 2018,0.53,0.322,0.148,77,@nytimes,orange,What should you do when a loved one is severely depressed? Don’t underestimate the power of showing up. https://t.co/yqRyXmSWiM
77,0.1027,Sat Jun 09 04:06:01 +0000 2018,0.741,0.12,0.139,78,@nytimes,orange,"""This should be a grave concern to anyone who cares about an informed citizenry,"" said Eileen Murphy, a spokeswoman… https://t.co/iwMg5Ng7tl"
78,0.2263,Sat Jun 09 04:01:40 +0000 2018,0.905,0.0,0.095,79,@nytimes,orange,RT @NYTSports: Kevin Durant has been named the MVP of the NBA finals for the second straight year. https://t.co/xSARJQ5MlN
79,0.0,Sat Jun 09 03:54:22 +0000 2018,1.0,0.0,0.0,80,@nytimes,orange,The U.S. just beat out China to develop the world’s fastest supercomputer. You’d need 6.3 billion years to match wh… https://t.co/DMGoDUacwv
80,-0.1027,Sat Jun 09 03:40:03 +0000 2018,0.935,0.065,0.0,81,@nytimes,orange,"RT @SopanDeb: **NEW**: In a lengthy (and remarkable) interview with Kyrie Irving, he repeatedly questioned whether the Earth is flat or rou…"
81,0.5719,Sat Jun 09 03:29:11 +0000 2018,0.837,0.0,0.163,82,@nytimes,orange,"Breaking News: The Golden State Warriors have won their third N.B.A. title in four years, sweeping LeBron James and… https://t.co/jbvTIZsZrD"
82,0.3182,Sat Jun 09 03:26:27 +0000 2018,0.648,0.13,0.223,83,@nytimes,orange,"At a moment of tumult over trade and nuclear security, President Trump is making friends with America’s enemies and… https://t.co/JtgvrhRvJ6"
83,0.7906,Sat Jun 09 02:55:05 +0000 2018,0.682,0.045,0.273,84,@nytimes,orange,"Discover an ""irony free zone where everything is beautiful and nothing hurts.""

What to watch, what to read and wha… https://t.co/gMtAyyRjDD"
84,0.0,Sat Jun 09 02:36:05 +0000 2018,1.0,0.0,0.0,85,@nytimes,orange,President Trump suggested the Group of 7 nations reinstate Russia 4 years after it was cast out for annexing Crimea https://t.co/ZQQDfGp5GN
85,0.0,Sat Jun 09 02:24:01 +0000 2018,1.0,0.0,0.0,86,@nytimes,orange,"RT @nytopinion: Anthony Bourdain exhorted us to open our eyes -- and our guts -- to the wondrous smorgasbord of life, and to savor every la…"
86,0.296,Sat Jun 09 02:08:01 +0000 2018,0.826,0.061,0.113,87,@nytimes,orange,"Modern Love: ""I had found a strange liberation in submitting to Dan, but it was only a first step. I wanted the dom… https://t.co/WHIRIHGpqQ"
87,0.0,Sat Jun 09 01:56:23 +0000 2018,1.0,0.0,0.0,88,@nytimes,orange,"During this season’s playoffs, LeBron James has accounted for nearly a third of the box-score statistics for the Ca… https://t.co/bugUyF7TK4"
88,0.0,Sat Jun 09 01:53:49 +0000 2018,0.804,0.098,0.098,89,@nytimes,orange,No one in the NBA has come close to LeBron James's share of a team’s production for over 40 years https://t.co/YqE8zZiiWg
89,0.0772,Sat Jun 09 01:49:04 +0000 2018,0.929,0.0,0.071,90,@nytimes,orange,Kyrie Irving Doesn’t Know if the Earth Is Round or Flat. He Does Want to Discuss It. https://t.co/1ET48Grban
90,0.0,Sat Jun 09 01:34:11 +0000 2018,1.0,0.0,0.0,91,@nytimes,orange,"LIVE: The Golden State Warriors vs. the Cleveland Cavaliers 

Game 4 updates and analysis https://t.co/3DmQOo5lNw"
91,0.0,Sat Jun 09 01:23:06 +0000 2018,1.0,0.0,0.0,92,@nytimes,orange,"Opinion: If There’s a Red Wave Election in 2018, This Will Be Why https://t.co/B0Nmgi1kdN"
92,0.0,Sat Jun 09 01:04:27 +0000 2018,1.0,0.0,0.0,93,@nytimes,orange,Opinion: Anthony Bourdain Was the Kind of ‘Bad Boy’ We Need More Of https://t.co/S8JhWFX9Jw
93,-0.2732,Sat Jun 09 00:50:49 +0000 2018,0.826,0.174,0.0,94,@nytimes,orange,Trump’s New Plan to Dismantle Obamacare Comes With Political Risks https://t.co/Ju2Fw08xUY
94,-0.3818,Sat Jun 09 00:36:17 +0000 2018,0.776,0.224,0.0,95,@nytimes,orange,Press Groups Criticize the Seizing of a Times Reporter’s Records https://t.co/Sqp3BXEBVB
95,-0.128,Sat Jun 09 00:25:28 +0000 2018,0.933,0.067,0.0,96,@nytimes,orange,"RT @nytfood: ""Anthony Bourdain entered the literary stage with an inside tip, delivered in the gruff whisper of a racetrack tout: Don’t ord…"
96,0.0,Sat Jun 09 00:05:29 +0000 2018,1.0,0.0,0.0,97,@nytimes,orange,"2 years ago, we asked Anthony Bourdain to answer a series of questions. He sketched his answers. https://t.co/zP0AIJ1Ce9"
97,0.0,Fri Jun 08 23:49:01 +0000 2018,1.0,0.0,0.0,98,@nytimes,orange,"About New York: Decades Ago, New York Dug a Moat Around Its Specialized Schools https://t.co/8jOa3pfI75"
98,-0.6124,Fri Jun 08 23:48:34 +0000 2018,0.625,0.261,0.114,99,@nytimes,orange,"Anthony Bourdain’s death prompted an outpouring of grief and tributes from friends and fans. ""He taught us about fo… https://t.co/JFW4Jh3jO2"
99,0.1027,Fri Jun 08 23:32:28 +0000 2018,0.58,0.196,0.225,100,@nytimes,orange,"Before the Smiles, Mounting Tensions Between Trudeau and Trump https://t.co/9XH9FvtZn0"
0,0.0,Sat Jun 09 21:41:00 +0000 2018,1.0,0.0,0.0,1,@foxnews,green,OPINION: There's just one way to marry the right person (and anyone can do it) https://t.co/yqcYBoKZ8w
1,0.0,Sat Jun 09 21:39:41 +0000 2018,1.0,0.0,0.0,2,@foxnews,green,".@Mark_Penn on the Mueller probe: ""I think our Constitution is being stepped on."" https://t.co/WU779vQZHl"
2,0.128,Sat Jun 09 21:35:06 +0000 2018,0.909,0.0,0.091,3,@foxnews,green,"Belmont Stakes' Triple Crown contender, start time, odds and everything else about the horse race https://t.co/6SDuqSRpPJ"
3,-0.6115,Sat Jun 09 21:32:10 +0000 2018,0.778,0.222,0.0,4,@foxnews,green,".@POTUS: ""The U.S. press is very dishonest, much of it, not all of it."" https://t.co/wRY77Xrqxz"
4,0.0,Sat Jun 09 21:28:31 +0000 2018,1.0,0.0,0.0,5,@foxnews,green,U.S. Markets - So far this year. https://t.co/dXBWkXeAc2
5,-0.7088,Sat Jun 09 21:17:59 +0000 2018,0.731,0.269,0.0,6,@foxnews,green,.@SteveHiltonx: Trump’s criticism of G-7 is ‘unprecedented’ scream the elite -- That’s the whole point of Trump! https://t.co/ZwoJG4yXGb
6,0.0,Sat Jun 09 21:11:20 +0000 2018,1.0,0.0,0.0,7,@foxnews,green,President @realDonaldTrump is on his way to Singapore for a historic meeting with North Korean leader Kim Jong Un.… https://t.co/f5vz9YYXXE
7,-0.4767,Sat Jun 09 21:03:40 +0000 2018,0.744,0.256,0.0,8,@foxnews,green,"Florida woman's body found after gator attack, officials say https://t.co/5zyQqG9a32"
8,0.0772,Sat Jun 09 20:58:00 +0000 2018,0.933,0.0,0.067,9,@foxnews,green,".@kayleighmcenany: ""Where are the feminists, also, I want to ask - where are the Elizabeth Warrens, where are the H… https://t.co/6cSwtVG0OG"
9,0.3818,Sat Jun 09 20:53:00 +0000 2018,0.729,0.0,0.271,10,@foxnews,green,"President @realDonaldTrump promises ""America First"" throughout 2016. https://t.co/loUFH6m9i3"
10,0.0,Sat Jun 09 20:49:26 +0000 2018,1.0,0.0,0.0,11,@foxnews,green,German Chancellor Angela Merkel speaks with President @realDonaldTrump during proceedings on the sidelines of the o… https://t.co/3ObHBAyhun
11,0.4939,Sat Jun 09 20:47:39 +0000 2018,0.775,0.0,0.225,12,@foxnews,green,"Moments ago, President @realDonaldTrump praised the prime minister of Italy, @GiuseppeConteIT. https://t.co/xR842BvOcu"
12,0.0,Sat Jun 09 20:43:46 +0000 2018,1.0,0.0,0.0,13,@foxnews,green,".@conservmillen on G7 summit: ""Our GDP is bigger than all of theirs combined and they do need us more than we need… https://t.co/6zOc7YyliG"
13,0.891,Sat Jun 09 20:42:54 +0000 2018,0.602,0.0,0.398,14,@foxnews,green,".@kayleighmcenany: ""@FLOTUS has the trust and the love of the American people - she has a 57% approval rating. Mean… https://t.co/hoWeWMNEQX"
14,0.3612,Sat Jun 09 20:35:30 +0000 2018,0.839,0.0,0.161,15,@foxnews,green,Trump says US is like a 'piggy bank that everybody is robbing' on trade https://t.co/PK8qw7lxvW
15,0.0,Sat Jun 09 20:34:17 +0000 2018,1.0,0.0,0.0,16,@foxnews,green,RT @EricShawnTV: I anchor @FoxNews starting at 5 pm EDT with @ArthelNeville: What @POTUS @realDonaldTrump should say to Kim Jong-un. @MIT's…
16,-0.6486,Sat Jun 09 20:12:00 +0000 2018,0.65,0.35,0.0,17,@foxnews,green,Eunice Gayson first-ever Bond Girl dead at 90 https://t.co/BzfcRHNxu8
17,0.0,Sat Jun 09 20:07:00 +0000 2018,1.0,0.0,0.0,18,@foxnews,green,"At his press briefing today, President @realDonaldTrump slammed his presidential predecessor for ""allow[ing] Russia… https://t.co/BpMwYh65k5"
18,0.0,Sat Jun 09 20:01:00 +0000 2018,1.0,0.0,0.0,19,@foxnews,green,OPINION: Newest Mars discovery tells us something miraculous about Earth https://t.co/mcATE1PRIl
19,-0.2584,Sat Jun 09 19:55:00 +0000 2018,0.887,0.113,0.0,20,@foxnews,green,.@realDonaldTrump doubles down on calls to include Russia in G-7: 'We're not looking to play games' https://t.co/nob4MbUZWM
20,0.0,Sat Jun 09 19:49:00 +0000 2018,0.562,0.247,0.191,21,@foxnews,green,.@seanhannity Praises Trump's Tough NoKo Action After 'Weak and Feckless' Obama Leadership   https://t.co/Q2Uj18acfS
